epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6371.91,0.46952,1.43973,1.02381,0.46511,0.53263,0.42838,0.39154,0.39708,1.23506,0.29524,0.000302958,0.000302958,0.000302958
2,13336.3,0.35212,1.19407,0.95947,0.35853,0.64592,0.45746,0.44795,0.2366,1.19131,0.22333,0.000545968,0.000545968,0.000545968
3,20009.4,0.30743,1.12446,0.93409,0.4117,0.59477,0.48173,0.47745,0.20306,1.06565,0.20551,0.000728984,0.000728984,0.000728984
4,39328.3,0.26855,1.07106,0.91697,0.39155,0.63534,0.50437,0.49047,0.26209,1.07083,0.18459,0.000639027,0.000639027,0.000639027
5,44783.5,0.21119,1.01876,0.88566,0.44509,0.646,0.53808,0.53681,0.1442,0.98775,0.12949,0.000549036,0.000549036,0.000549036
6,50204.3,0.17035,0.97894,0.86886,0.60858,0.58263,0.54947,0.54915,0.12541,0.9182,0.10598,0.000459045,0.000459045,0.000459045
7,55608.2,0.14359,0.93676,0.85704,0.4591,0.6864,0.56773,0.56677,0.12003,0.92599,0.09392,0.000369054,0.000369054,0.000369054
8,92802.8,0.12915,0.9024,0.8502,0.48784,0.65009,0.58443,0.58391,0.11006,0.89155,0.08788,0.000279063,0.000279063,0.000279063
9,102076,0.11372,0.86644,0.84722,0.51718,0.67838,0.60124,0.60119,0.09514,0.86374,0.08343,0.000189072,0.000189072,0.000189072
10,111860,0.10205,0.83234,0.8439,0.5338,0.66209,0.60995,0.60994,0.09935,0.83408,0.08361,9.9081e-05,9.9081e-05,9.9081e-05
